client_id,first_name,last_name,dob,phone,email,address_street,unit_number,buzzer_code,address_city,address_province,address_postal,lat,lng,home_depot_id,building_type,enrolment_status,enrolment_start_date,closure_date,food_security_level,indigenous_identity_flag,language_primary,interpreter_required,mobility_wheelchair,mobility_walker,mobility_cane,mobility_bedbound,mobility_requires_assistance_at_door,mobility_low_vision,mobility_hard_of_hearing,diet_diabetic,diet_low_sodium,diet_heart_healthy,diet_renal,diet_pureed,diet_minced,diet_soft,diet_gluten_free,diet_vegetarian,diet_vegan,diet_halal,diet_kosher,diet_lactose_free,allergy_peanut_severity,allergy_tree_nut_severity,allergy_shellfish_severity,allergy_fish_severity,allergy_egg_severity,allergy_soy_severity,allergy_wheat_severity,allergy_dairy_severity,has_dog_on_premises,dog_notes,safe_to_leave_unattended,client_trust_level,requires_two_person_team,do_not_enter_home,emergency_contact_name,emergency_contact_phone
CLI-0001,Jeffrey,LAWRENCE,03/09/1934,250-222-5681,,65423 Garcia Light,,,Victoria,BC,V8C 5A9,48.451758,-123.431849,DEP-02,house,active,2024-07-10,,secure,False,English,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,none,none,none,mild,none,none,none,none,False,,True,trusted,False,True,Ryan Munoz,(250) 555-4872
CLI-0002,Lindsay,Blair,1933-04-03,250-250-4227,,1849 Ray Squares,1973,#5015,Victoria,BC,V8M 0F6,48.416631,-123.377154,DEP-01,low_rise,active,2025-06-23,,marginal,False,English,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,none,none,none,mild,none,none,none,none,False,,True,trusted,False,False,Matthew Mejia,(250) 555-1152
CLI-0003,Tracie,WYATT,1960-12-30,(250) 653-3990,,4752 Kelly Skyway,,,Victoria,BC,V8C 8G8,48.445829,-123.300232,DEP-01,house,active,2025-03-30,,severe,False,English,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,none,none,mild,mild,none,none,none,none,False,,False,established,False,True,Timothy Wong,(250) 555-3442
CLI-0004,Chelsea,Jackson,1967-11-05,250-868-8229,frankgray@example.net,503 Linda Locks,,,Victoria,BC,V8N 2B4,48.454559,-123.324811,DEP-01,house,active,2023-07-06,,severe,False,English,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,none,mild,mild,none,mild,none,none,none,False,,True,trusted,False,False,Daniel Hahn,(250) 555-9785
CLI-0005,Nancy,Edwards,1939-08-03,2508845538,pfoster@example.com,2388 Burgess Meadow,2005,#5379,Victoria,BC,V9F 9I0,48.433115,-123.44586,DEP-01,low_rise,active,2025-09-21,,marginal,False,English,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,none,none,none,none,none,none,none,none,False,,False,established,False,False,Jennifer Robinson,(250) 555-9375
CLI-0006,Whitney,Hicks,1954-07-30,250-917-2617,,12269 Paul Ranch,,,Victoria,BC,V8V 1J8,48.447319,-123.314823,DEP-01,house,active,2025-03-02,,secure,False,English,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mild,none,none,none,mild,none,none,none,False,,False,established,False,False,Kendra Maddox DVM,(250) 555-8305
CLI-0007,Alexander,Le,1935-09-23,2502989747,,514 Moore Alley Suite 828,1757,Unknown,Victoria,BC,V9O 4Y3,48.489721,-123.338452,DEP-02,high_rise,paused,2024-11-03,,severe,False,English,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,none,none,none,none,none,mild,severe,none,False,,True,established,False,True,Sheila Evans,(250) 555-9751
CLI-0008,daNieLle,Lynch,1960-12-24,250-497-3209,nathanielmartin@example.net,570 Sarah Wells,,,Victoria,BC,V8C 6E7,48.402697,-123.390897,DEP-01,house,active,2024-09-29,,moderate,False,Mandarin,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,none,none,none,none,none,none,none,none,True,"Golden Retriever, barks at strangers",True,trusted,False,False,Dr. Cynthia Allen,(250) 555-4978
CLI-0009,ASHLEY,miller,1948-03-25,250-468-7831,wcabrera@example.net,78248 Brandt Plains,883,#8564,Victoria,BC,V8Z 9Z0,48.41019,-123.334128,DEP-01,high_rise,active,2025-09-09,,moderate,True,English,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,none,none,none,none,none,none,none,none,False,,True,established,False,False,Melissa Marquez,(250) 555-9004
CLI-0010,Raymond,Powers,1938-04-09,250-686-9617,samuel87@example.org,15098 Brianna Avenue,2023,,Victoria,BC,V9U 7O0,48.455518,-123.413951,DEP-02,high_rise,active,2024-07-12,,moderate,False,English,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,severe,mild,none,none,none,none,none,none,False,,True,trusted,False,True,Mark Perez,(250) 555-1841
CLI-0011,REBECCA,Heath,1936-09-07,(250) 947-8180,palmerjoshua@example.com,299 Sanchez Mountains,571,#7065,Victoria,BC,V8C 6P1,48.425248,-123.320742,DEP-01,SRO,active,08/03/2023,,marginal,False,English,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,none,none,none,none,none,none,none,none,True,"German Shepherd, barks at strangers",False,established,False,False,Cheryl Davis,(250) 555-5352
CLI-0012,Ryan,Henderson,1944-07-02,(250) 596-4573,dshields@example.net,65133 Amanda Dam,1963,#701,Victoria,BC,V8Z 4T9,48.482663,-123.439289,DEP-02,low_rise,closed,2025-10-01,2025-11-01,moderate,False,English,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,none,severe,none,mild,severe,none,none,none,False,,True,established,False,False,Donald Wright,(250) 555-2899
CLI-0013,SAndRA,Ramos,1943-05-24,(250) 877-2305,williamsyvette@example.org,26773 Barrera Expressway,1195,#8418,Victoria,BC,V8V 8O6,48.497018,-123.389374,DEP-02,high_rise,active,03/12/2026,,moderate,False,Vietnamese,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,none,none,none,mild,severe,none,none,none,False,,False,established,False,False,William Baker,(250) 555-9022
CLI-0014,Kristen,Gibson,1931-08-12,(250) 334-1812,,872 Kenneth Centers Apt. 500,,,Victoria,BC,V9L 5R8,48.486526,-123.383018,DEP-02,house,active,2025-02-03,,severe,False,English,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,none,mild,severe,none,none,none,none,none,False,,True,trusted,False,False,Kathryn Farrell,(250) 555-2121
CLI-0015,Eric,Yu,1967-03-27,+1-250-740-2117,yorkcasey@example.org,1939 Christine Manor,1312,#9517,Victoria,BC,V9H 1N1,48.423477,-123.34734,DEP-01,SRO,paused,2023-11-07,,moderate,False,English,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,mild,none,none,none,none,none,none,none,False,,True,established,False,False,Krystal Stewart,(250) 555-7484
CLI-0016,Jose,Santiago,1947-09-13,N/A,john62@example.net,5107 Charles Forest Suite 251,,,Victoria,BC,V8T 7J3,48.427448,-123.365111,DEP-01,house,active,2025-04-06,,marginal,False,English,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,none,mild,mild,severe,none,mild,mild,none,False,,False,established,False,False,Jaclyn Moore,(250) 555-1228
CLI-0017,martha,Warner,12/04/1958,(250) 901-5933,,841 Joseph Coves,,,Victoria,BC,V9V 4S6,48.426446,-123.431462,DEP-01,house,paused,05/15/2025,,marginal,False,English,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,none,none,none,none,none,none,none,severe,False,,False,trusted,False,False,Brittney Campbell,(250) 555-6876
